tweet_id,text,true_intent
T1424,@AppleSupport my iPhone is not turning on.,Account Issue / Technical Support
T1425,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1426,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1427,@AppleSupport my MacBook is not turning on.,Account Issue / Technical Support
T1428,@AppleSupport my iPhone is crashing.,Account Issue / Technical Support
T1429,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1430,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1431,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1432,@AppleSupport when is the new update coming out?,Other
T1433,@AppleSupport when is the new update coming out?,Other
T1434,@AppleSupport my MacBook is crashing.,Account Issue / Technical Support
T1435,@AppleSupport my MacBook is crashing.,Account Issue / Technical Support
T1436,@AppleSupport my MacBook is not turning on.,Account Issue / Technical Support
T1437,@AppleSupport when is the new update coming out?,Other
T1438,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1439,@AppleSupport my iPhone is not turning on.,Account Issue / Technical Support
T1440,@AppleSupport when is the new update coming out?,Other
T1441,@AppleSupport my MacBook is crashing.,Account Issue / Technical Support
T1442,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1443,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1444,@AppleSupport when is the new update coming out?,Other
T1445,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1446,@AppleSupport my MacBook is not turning on.,Account Issue / Technical Support
T1447,@AppleSupport when is the new update coming out?,Other
T1448,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1449,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1450,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1451,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1452,@AppleSupport when is the new update coming out?,Other
T1453,@AppleSupport when is the new update coming out?,Other
T1454,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1455,@AppleSupport my iPhone is not turning on.,Account Issue / Technical Support
T1456,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1457,@AppleSupport when is the new update coming out?,Other
T1458,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1459,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1460,@AppleSupport my MacBook is not turning on.,Account Issue / Technical Support
T1461,@AppleSupport when is the new update coming out?,Other
T1462,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1463,@AppleSupport my iPhone is crashing.,Account Issue / Technical Support
T1464,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1465,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1466,@AppleSupport when is the new update coming out?,Other
T1467,@AppleSupport when is the new update coming out?,Other
T1468,@AppleSupport my MacBook is crashing.,Account Issue / Technical Support
T1469,@AppleSupport my iPhone is crashing.,Account Issue / Technical Support
T1470,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1471,@AppleSupport when is the new update coming out?,Other
T1472,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1473,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1474,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1475,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1476,@AppleSupport when is the new update coming out?,Other
T1477,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1478,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1479,@AppleSupport my iPhone is crashing.,Account Issue / Technical Support
T1480,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1481,@AppleSupport when is the new update coming out?,Other
T1482,@AppleSupport my MacBook is crashing.,Account Issue / Technical Support
T1483,@AppleSupport my iPhone is crashing.,Account Issue / Technical Support
T1484,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1485,@AppleSupport my MacBook is not turning on.,Account Issue / Technical Support
T1486,@AppleSupport when is the new update coming out?,Other
T1487,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1488,@AppleSupport when is the new update coming out?,Other
T1489,@AppleSupport I got charged twice for my subscription.,Billing / Refund
T1490,@AppleSupport my iPhone is not turning on.,Account Issue / Technical Support
T1491,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1492,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1493,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1494,@AppleSupport I'm taking this to court if you don't fix this immediately.,Escalation Trigger
T1495,@AppleSupport my MacBook is not turning on.,Account Issue / Technical Support
T1496,@AppleSupport when is the new update coming out?,Other
T1497,@AppleSupport I got charged wrongly for my subscription.,Billing / Refund
T1498,@AppleSupport when is the new update coming out?,Other
T1499,@AppleSupport I got charged twice for my subscription.,Billing / Refund
